date,series,Immigration to Spain,Emigration from Spain,Net migration
2021,0 to 15 years,3487,-1737,1750
2021,16 to 24 years,3079,-1629,1450
2021,25 to 34 years,3863,-3061,802
2021,35 to 44 years,3211,-2581,630
2021,45 to 54 years,4904,-3187,1717
2021,55 to 64 years,7489,-4345,3144
2021,65 and over,7982,-7442,540
2022,0 to 15 years,3041,-1410,1631
2022,16 to 24 years,2015,-1312,703
2022,25 to 34 years,2364,-2806,-442
2022,35 to 44 years,2139,-2305,-166
2022,45 to 54 years,2732,-2898,-166
2022,55 to 64 years,4161,-4193,-32
2022,65 and over,3525,-6475,-2950
2023,0 to 15 years,3123,-1548,1575
2023,16 to 24 years,1916,-1889,27
2023,25 to 34 years,2341,-3138,-797
2023,35 to 44 years,2085,-2562,-477
2023,45 to 54 years,2641,-3013,-372
2023,55 to 64 years,4095,-4735,-640
2023,65 and over,3375,-8352,-4977
2024,0 to 15 years,3723,-1250,2473
2024,16 to 24 years,2007,-1687,320
2024,25 to 34 years,2478,-2728,-250
2024,35 to 44 years,2011,-2136,-125
2024,45 to 54 years,2191,-2388,-197
2024,55 to 64 years,4000,-3854,146
2024,65 and over,3506,-6036,-2530
2021,Total,34015,-23982,10033
2022,Total,19977,-21399,-1422
2023,Total,19576,-25237,-5661
2024,Total,19916,-20079,-163
